time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5707855563053e-06,1e-05,1.5707855563053e-06,-1335.1909062223,1335.1909062279,164722409.46344
