time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4911093298361e-08,1.5873015873016e-07,2.4911093298361e-08,-22.144317900762,22.144317900764,2357795.5524016,2411030.8734027
2,4.9822186596721e-08,3.1746031746032e-07,4.9822186596721e-08,-44.288635801524,44.288635801528,4715591.1048033,4822061.7468055
3,7.4733279895082e-08,4.7619047619048e-07,7.4733279895082e-08,-66.432953702287,66.432953702292,7073386.6572049,7233092.6202082
4,9.9644373193443e-08,6.3492063492063e-07,9.9644373193443e-08,-88.577271603049,88.577271603056,9431182.2096065,9644123.4936109
5,1.245554664918e-07,7.9365079365079e-07,1.245554664918e-07,-110.72158950381,110.72158950382,11788977.762008,12055154.367014
6,1.4946655979016e-07,9.5238095238095e-07,1.4946655979016e-07,-132.86590740457,132.86590740458,14146773.31441,14466185.240416
7,1.7437765308852e-07,1.1111111111111e-06,1.7437765308852e-07,-155.01022530534,155.01022530535,16504568.866811,16877216.113819
8,1.9928874638689e-07,1.2698412698413e-06,1.9928874638689e-07,-177.1545432061,177.15454320611,18862364.419213,19288246.987222
9,2.2419983968525e-07,1.4285714285714e-06,2.2419983968525e-07,-199.29886110686,199.29886110687,21220159.971615,21699277.860624
10,2.4911093298361e-07,1.5873015873016e-06,2.4911093298361e-07,-221.44317900762,221.44317900764,23577955.524016,24110308.734027
11,2.7402202628197e-07,1.7460317460317e-06,2.7402202628197e-07,-243.58749690838,243.5874969084,25935751.076418,26521339.60743
12,2.9893311958033e-07,1.9047619047619e-06,2.9893311958033e-07,-265.73181480915,265.73181480917,28293546.62882,28932370.480833
13,3.2384421287869e-07,2.0634920634921e-06,3.2384421287869e-07,-287.87613270991,287.87613270994,30651342.181221,31343401.354235
14,3.4875530617705e-07,2.2222222222222e-06,3.4875530617705e-07,-310.02045061067,310.0204506107,33009137.733623,33754432.227638
15,3.7366639947541e-07,2.3809523809524e-06,3.7366639947541e-07,-332.16476851143,332.16476851147,35366933.286024,36165463.101041
16,3.9857749277377e-07,2.5396825396825e-06,3.9857749277377e-07,-354.30908641219,354.30908641223,37724728.838426,38576493.974443
17,4.2348858607213e-07,2.6984126984127e-06,4.2348858607213e-07,-376.45340431296,376.45340431299,40082524.390828,40987524.847846
18,4.4839967937049e-07,2.8571428571429e-06,4.4839967937049e-07,-398.59772221372,398.59772221376,42440319.943229,43398555.721249
19,4.7331077266885e-07,3.015873015873e-06,4.7331077266885e-07,-420.74204011448,420.74204011452,44798115.495631,45809586.594651
20,4.9822186596721e-07,3.1746031746032e-06,4.9822186596721e-07,-442.88635801524,442.88635801529,47155911.048032,48220617.468054
21,5.2313295926557e-07,3.3333333333333e-06,5.2313295926557e-07,-465.03067591601,465.03067591606,49513706.600434,50631648.341457
22,5.4804405256393e-07,3.4920634920635e-06,5.4804405256393e-07,-487.17499381677,487.17499381682,51871502.152836,53042679.21486
23,5.729551458623e-07,3.6507936507937e-06,5.729551458623e-07,-509.31931171753,509.31931171759,54229297.705237,55453710.088262
24,5.9786623916066e-07,3.8095238095238e-06,5.9786623916066e-07,-531.46362961829,531.46362961835,56587093.257639,57864740.961665
25,6.2277733245902e-07,3.968253968254e-06,6.2277733245902e-07,-553.60794751905,553.60794751913,58944888.81004,60275771.835068
26,6.4768842575738e-07,4.1269841269841e-06,6.4768842575738e-07,-575.75226541982,575.75226541989,61302684.362442,62686802.708471
27,6.7259951905574e-07,4.2857142857143e-06,6.7259951905574e-07,-597.89658332058,597.89658332065,63660479.914844,65097833.581874
28,6.975106123541e-07,4.4444444444444e-06,6.975106123541e-07,-620.04090122134,620.04090122141,66018275.467245,67508864.455276
29,7.2242170565246e-07,4.6031746031746e-06,7.2242170565246e-07,-642.1852191221,642.18521912218,68376071.019647,69919895.328679
30,7.4733279895082e-07,4.7619047619048e-06,7.4733279895082e-07,-664.32953702286,664.32953702294,70733866.572048,72330926.202082
31,7.7224389224918e-07,4.9206349206349e-06,7.7224389224918e-07,-686.47385492363,686.47385492371,73091662.12445,74741957.075485
32,7.9715498554754e-07,5.0793650793651e-06,7.9715498554754e-07,-708.61817282439,708.61817282446,75449457.676852,77152987.948888
33,8.220660788459e-07,5.2380952380952e-06,8.220660788459e-07,-730.76249072515,730.76249072523,77807253.229253,79564018.822291
34,8.4697717214426e-07,5.3968253968254e-06,8.4697717214426e-07,-752.90680862591,752.906808626,80165048.781655,81975049.695693
35,8.7188826544262e-07,5.5555555555556e-06,8.7188826544262e-07,-775.05112652668,775.05112652676,82522844.334056,84386080.569096
36,8.9679935874098e-07,5.7142857142857e-06,8.9679935874098e-07,-797.19544442744,797.19544442752,84880639.886458,86797111.442499
37,9.2171045203934e-07,5.8730158730159e-06,9.2171045203934e-07,-819.3397623282,819.33976232828,87238435.43886,89208142.315902
38,9.466215453377e-07,6.031746031746e-06,9.466215453377e-07,-841.48408022896,841.48408022904,89596230.991261,91619173.189305
39,9.7153263863607e-07,6.1904761904762e-06,9.7153263863607e-07,-863.62839812972,863.6283981298,91954026.543663,94030204.062707
40,9.9644373193443e-07,6.3492063492063e-06,9.9644373193443e-07,-885.77271603049,885.77271603057,94311822.096064,96441234.93611
41,1.0213548252328e-06,6.5079365079365e-06,1.0213548252328e-06,-907.91703393125,907.91703393135,96669617.648466,98852265.809513
42,1.0462659185311e-06,6.6666666666667e-06,1.0462659185311e-06,-930.06135183201,930.06135183212,99027413.200868,101263296.68292
43,1.0711770118295e-06,6.8253968253968e-06,1.0711770118295e-06,-952.20566973277,952.20566973287,101385208.75327,103674327.55632
44,1.0960881051279e-06,6.984126984127e-06,1.0960881051279e-06,-974.34998763353,974.34998763364,103743004.30567,106085358.42972
45,1.1209991984262e-06,7.1428571428571e-06,1.1209991984262e-06,-996.4943055343,996.4943055344,106100799.85807,108496389.30312
46,1.1459102917246e-06,7.3015873015873e-06,1.1459102917246e-06,-1018.6386234351,1018.6386234352,108458595.41047,110907420.17653
47,1.170821385023e-06,7.4603174603175e-06,1.170821385023e-06,-1040.7829413358,1040.7829413359,110816390.96288,113318451.04993
48,1.1957324783213e-06,7.6190476190476e-06,1.1957324783213e-06,-1062.9272592366,1062.9272592367,113174186.51528,115729481.92333
49,1.2206435716197e-06,7.7777777777778e-06,1.2206435716197e-06,-1085.0715771373,1085.0715771375,115531982.06768,118140512.79674
50,1.245554664918e-06,7.9365079365079e-06,1.245554664918e-06,-1107.2158950381,1107.2158950382,117889777.62008,120551543.67014
51,1.2704657582164e-06,8.0952380952381e-06,1.2704657582164e-06,-1129.3602129389,1129.360212939,120247573.17248,122962574.54354
52,1.2953768515148e-06,8.2539682539683e-06,1.2953768515148e-06,-1151.5045308396,1151.5045308398,122605368.72489,125373605.41695
53,1.3202879448131e-06,8.4126984126984e-06,1.3202879448131e-06,-1173.6488487404,1173.6488487405,124963164.27729,127784636.29035
54,1.3451990381115e-06,8.5714285714286e-06,1.3451990381115e-06,-1195.7931666412,1195.7931666413,127320959.82969,130195667.16375
55,1.3701101314098e-06,8.7301587301587e-06,1.3701101314098e-06,-1217.9374845419,1217.9374845421,129678755.38209,132606698.03715
56,1.3950212247082e-06,8.8888888888889e-06,1.3950212247082e-06,-1240.0818024427,1240.0818024428,132036550.93449,135017728.91056
57,1.4199323180066e-06,9.047619047619e-06,1.4199323180066e-06,-1262.2261203434,1262.2261203436,134394346.48689,137428759.78396
58,1.4448434113049e-06,9.2063492063492e-06,1.4448434113049e-06,-1284.3704382442,1284.3704382444,136752142.0393,139839790.65736
59,1.4697545046033e-06,9.3650793650794e-06,1.4697545046033e-06,-1306.514756145,1306.5147561451,139109937.5917,142250821.53077
60,1.4946655979016e-06,9.5238095238095e-06,1.4946655979016e-06,-1328.6590740457,1328.6590740459,141467733.1441,144661852.40417
61,1.5195766912e-06,9.6825396825397e-06,1.5195766912e-06,-1350.8033919465,1350.8033919467,143825528.6965,147072883.27757
62,1.5444877844984e-06,9.8412698412698e-06,1.5444877844984e-06,-1372.9477098473,1372.9477098474,146183324.2489,149483914.15097
63,1.5693988777967e-06,1e-05,1.5693988777967e-06,-1395.092027748,1395.0920277482,148541119.8013,151894945.02438
