time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5707039289076e-06,1e-05,1.5707039289076e-06,-1363.5405282818,1363.5405282814,158976136.23205
