time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5603632872371e-06,1e-05,1.5603632872371e-06,-1451.3789091497,1451.3789091498,124342198.43617
