time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5707632009659e-06,1e-05,1.5707632009659e-06,-1345.8122622426,1345.8122622416,162102579.93257
