time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4767671225986e-08,1.5873015873016e-07,2.4767671225986e-08,-23.037760462694,23.037760462696,1973685.689463,2077470.5815399
2,4.9535342451973e-08,3.1746031746032e-07,4.9535342451973e-08,-46.075520925389,46.075520925391,3947371.3789259,4154941.1630797
3,7.4303013677959e-08,4.7619047619048e-07,7.4303013677959e-08,-69.113281388083,69.113281388087,5921057.0683888,6232411.7446195
4,9.9070684903946e-08,6.3492063492063e-07,9.9070684903946e-08,-92.151041850777,92.151041850783,7894742.7578518,8309882.3261594
5,1.2383835612993e-07,7.9365079365079e-07,1.2383835612993e-07,-115.18880231347,115.18880231348,9868428.4473148,10387352.907699
6,1.4860602735592e-07,9.5238095238095e-07,1.4860602735592e-07,-138.22656277617,138.22656277617,11842114.136778,12464823.489239
7,1.7337369858191e-07,1.1111111111111e-06,1.7337369858191e-07,-161.26432323886,161.26432323887,13815799.826241,14542294.070779
8,1.9814136980789e-07,1.2698412698413e-06,1.9814136980789e-07,-184.30208370155,184.30208370157,15789485.515704,16619764.652319
9,2.2290904103388e-07,1.4285714285714e-06,2.2290904103388e-07,-207.33984416425,207.33984416426,17763171.205167,18697235.233859
10,2.4767671225986e-07,1.5873015873016e-06,2.4767671225986e-07,-230.37760462694,230.37760462696,19736856.89463,20774705.815398
11,2.7244438348585e-07,1.7460317460317e-06,2.7244438348585e-07,-253.41536508964,253.41536508965,21710542.584092,22852176.396938
12,2.9721205471184e-07,1.9047619047619e-06,2.9721205471184e-07,-276.45312555233,276.45312555235,23684228.273555,24929646.978478
13,3.2197972593782e-07,2.0634920634921e-06,3.2197972593782e-07,-299.49088601503,299.49088601505,25657913.963018,27007117.560018
14,3.4674739716381e-07,2.2222222222222e-06,3.4674739716381e-07,-322.52864647772,322.52864647774,27631599.652481,29084588.141558
15,3.715150683898e-07,2.3809523809524e-06,3.715150683898e-07,-345.56640694041,345.56640694044,29605285.341944,31162058.723098
16,3.9628273961578e-07,2.5396825396825e-06,3.9628273961578e-07,-368.60416740311,368.60416740313,31578971.031407,33239529.304638
17,4.2105041084177e-07,2.6984126984127e-06,4.2105041084177e-07,-391.6419278658,391.64192786583,33552656.72087,35316999.886177
18,4.4581808206776e-07,2.8571428571429e-06,4.4581808206776e-07,-414.6796883285,414.67968832852,35526342.410333,37394470.467717
19,4.7058575329374e-07,3.015873015873e-06,4.7058575329374e-07,-437.71744879119,437.71744879122,37500028.099796,39471941.049257
20,4.9535342451973e-07,3.1746031746032e-06,4.9535342451973e-07,-460.75520925388,460.75520925392,39473713.789259,41549411.630797
21,5.2012109574572e-07,3.3333333333333e-06,5.2012109574572e-07,-483.79296971658,483.79296971661,41447399.478722,43626882.212337
22,5.448887669717e-07,3.4920634920635e-06,5.448887669717e-07,-506.83073017927,506.83073017931,43421085.168185,45704352.793877
23,5.6965643819769e-07,3.6507936507937e-06,5.6965643819769e-07,-529.86849064197,529.868490642,45394770.857648,47781823.375417
24,5.9442410942367e-07,3.8095238095238e-06,5.9442410942367e-07,-552.90625110466,552.9062511047,47368456.547111,49859293.956956
25,6.1919178064966e-07,3.968253968254e-06,6.1919178064966e-07,-575.94401156736,575.9440115674,49342142.236574,51936764.538496
26,6.4395945187565e-07,4.1269841269841e-06,6.4395945187565e-07,-598.98177203005,598.98177203009,51315827.926037,54014235.120036
27,6.6872712310163e-07,4.2857142857143e-06,6.6872712310163e-07,-622.01953249274,622.01953249279,53289513.6155,56091705.701576
28,6.9349479432762e-07,4.4444444444444e-06,6.9349479432762e-07,-645.05729295544,645.05729295548,55263199.304963,58169176.283116
29,7.1826246555361e-07,4.6031746031746e-06,7.1826246555361e-07,-668.09505341813,668.09505341818,57236884.994426,60246646.864656
30,7.4303013677959e-07,4.7619047619048e-06,7.4303013677959e-07,-691.13281388083,691.13281388087,59210570.683889,62324117.446196
31,7.6779780800558e-07,4.9206349206349e-06,7.6779780800558e-07,-714.17057434352,714.17057434357,61184256.373352,64401588.027736
32,7.9256547923157e-07,5.0793650793651e-06,7.9256547923157e-07,-737.20833480622,737.20833480626,63157942.062814,66479058.609276
33,8.1733315045755e-07,5.2380952380952e-06,8.1733315045755e-07,-760.24609526891,760.24609526896,65131627.752277,68556529.190816
34,8.4210082168354e-07,5.3968253968254e-06,8.4210082168354e-07,-783.2838557316,783.28385573166,67105313.44174,70633999.772356
35,8.6686849290953e-07,5.5555555555556e-06,8.6686849290953e-07,-806.3216161943,806.32161619435,69078999.131203,72711470.353896
36,8.9163616413551e-07,5.7142857142857e-06,8.9163616413551e-07,-829.35937665699,829.35937665705,71052684.820666,74788940.935435
37,9.164038353615e-07,5.8730158730159e-06,9.164038353615e-07,-852.39713711969,852.39713711974,73026370.510129,76866411.516976
38,9.4117150658749e-07,6.031746031746e-06,9.4117150658749e-07,-875.43489758238,875.43489758244,75000056.199592,78943882.098516
39,9.6593917781347e-07,6.1904761904762e-06,9.6593917781347e-07,-898.47265804507,898.47265804513,76973741.889055,81021352.680056
40,9.9070684903946e-07,6.3492063492063e-06,9.9070684903946e-07,-921.51041850777,921.51041850783,78947427.578518,83098823.261595
41,1.0154745202654e-06,6.5079365079365e-06,1.0154745202654e-06,-944.54817897046,944.54817897053,80921113.267981,85176293.843135
42,1.0402421914914e-06,6.6666666666667e-06,1.0402421914914e-06,-967.58593943316,967.58593943322,82894798.957444,87253764.424675
43,1.0650098627174e-06,6.8253968253968e-06,1.0650098627174e-06,-990.62369989585,990.62369989592,84868484.646907,89331235.006215
44,1.0897775339434e-06,6.984126984127e-06,1.0897775339434e-06,-1013.6614603585,1013.6614603586,86842170.33637,91408705.587755
45,1.1145452051694e-06,7.1428571428571e-06,1.1145452051694e-06,-1036.6992208212,1036.6992208213,88815856.025832,93486176.169295
46,1.1393128763954e-06,7.3015873015873e-06,1.1393128763954e-06,-1059.7369812839,1059.736981284,90789541.715295,95563646.750835
47,1.1640805476214e-06,7.4603174603175e-06,1.1640805476214e-06,-1082.7747417466,1082.7747417467,92763227.404758,97641117.332375
48,1.1888482188473e-06,7.6190476190476e-06,1.1888482188473e-06,-1105.8125022093,1105.8125022094,94736913.094221,99718587.913915
49,1.2136158900733e-06,7.7777777777778e-06,1.2136158900733e-06,-1128.850262672,1128.8502626721,96710598.783684,101796058.49545
50,1.2383835612993e-06,7.9365079365079e-06,1.2383835612993e-06,-1151.8880231347,1151.8880231348,98684284.473146,103873529.077
51,1.2631512325253e-06,8.0952380952381e-06,1.2631512325253e-06,-1174.9257835974,1174.9257835975,100657970.16261,105950999.65854
52,1.2879189037513e-06,8.2539682539683e-06,1.2879189037513e-06,-1197.9635440601,1197.9635440602,102631655.85207,108028470.24007
53,1.3126865749773e-06,8.4126984126984e-06,1.3126865749773e-06,-1221.0013045228,1221.0013045229,104605341.54154,110105940.82161
54,1.3374542462033e-06,8.5714285714286e-06,1.3374542462033e-06,-1244.0390649855,1244.0390649856,106579027.231,112183411.40315
55,1.3622219174293e-06,8.7301587301587e-06,1.3622219174293e-06,-1267.0768254482,1267.0768254483,108552712.92046,114260881.98469
56,1.3869895886552e-06,8.8888888888889e-06,1.3869895886552e-06,-1290.1145859109,1290.114585911,110526398.60992,116338352.56623
57,1.4117572598812e-06,9.047619047619e-06,1.4117572598812e-06,-1313.1523463736,1313.1523463736,112500084.29939,118415823.14777
58,1.4365249311072e-06,9.2063492063492e-06,1.4365249311072e-06,-1336.1901068363,1336.1901068363,114473769.98885,120493293.72931
59,1.4612926023332e-06,9.3650793650794e-06,1.4612926023332e-06,-1359.227867299,1359.227867299,116447455.67831,122570764.31085
60,1.4860602735592e-06,9.5238095238095e-06,1.4860602735592e-06,-1382.2656277617,1382.2656277617,118421141.36778,124648234.89239
61,1.5108279447852e-06,9.6825396825397e-06,1.5108279447852e-06,-1405.3033882243,1405.3033882244,120394827.05724,126725705.47393
62,1.5355956160112e-06,9.8412698412698e-06,1.5355956160112e-06,-1428.341148687,1428.3411486871,122368512.7467,128803176.05547
63,1.5603632872371e-06,1e-05,1.5603632872371e-06,-1451.3789091497,1451.3789091498,124342198.43616,130880646.63701
