time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5707689597663e-06,1e-05,1.5707689597663e-06,-1328.3095573462,1328.3095573491,165892267.40385
