time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4932840631212e-08,1.5873015873016e-07,2.4932840631212e-08,-21.084278688035,21.084278688025,2633210.593712,2656929.4884191
2,4.9865681262423e-08,3.1746031746032e-07,4.9865681262423e-08,-42.16855737607,42.168557376051,5266421.187424,5313858.9768382
3,7.4798521893635e-08,4.7619047619048e-07,7.4798521893635e-08,-63.252836064105,63.252836064075,7899631.781136,7970788.4652574
4,9.9731362524847e-08,6.3492063492063e-07,9.9731362524847e-08,-84.33711475214,84.337114752102,10532842.374848,10627717.953676
5,1.2466420315606e-07,7.9365079365079e-07,1.2466420315606e-07,-105.42139344018,105.42139344012,13166052.96856,13284647.442096
6,1.4959704378727e-07,9.5238095238095e-07,1.4959704378727e-07,-126.50567212821,126.50567212815,15799263.562272,15941576.930515
7,1.7452988441848e-07,1.1111111111111e-06,1.7452988441848e-07,-147.58995081625,147.58995081618,18432474.155984,18598506.418934
8,1.9946272504969e-07,1.2698412698413e-06,1.9946272504969e-07,-168.67422950428,168.6742295042,21065684.749696,21255435.907353
9,2.2439556568091e-07,1.4285714285714e-06,2.2439556568091e-07,-189.75850819232,189.75850819222,23698895.343408,23912365.395773
10,2.4932840631212e-07,1.5873015873016e-06,2.4932840631212e-07,-210.84278688035,210.84278688024,26332105.93712,26569294.884192
11,2.7426124694333e-07,1.7460317460317e-06,2.7426124694333e-07,-231.92706556839,231.92706556828,28965316.530832,29226224.372611
12,2.9919408757454e-07,1.9047619047619e-06,2.9919408757454e-07,-253.01134425642,253.0113442563,31598527.124544,31883153.86103
13,3.2412692820575e-07,2.0634920634921e-06,3.2412692820575e-07,-274.09562294445,274.09562294433,34231737.718256,34540083.34945
14,3.4905976883696e-07,2.2222222222222e-06,3.4905976883696e-07,-295.17990163249,295.17990163236,36864948.311969,37197012.837869
15,3.7399260946818e-07,2.3809523809524e-06,3.7399260946818e-07,-316.26418032052,316.26418032037,39498158.905681,39853942.326288
16,3.9892545009939e-07,2.5396825396825e-06,3.9892545009939e-07,-337.34845900856,337.34845900839,42131369.499393,42510871.814708
17,4.238582907306e-07,2.6984126984127e-06,4.238582907306e-07,-358.43273769659,358.4327376964,44764580.093105,45167801.303127
18,4.4879113136181e-07,2.8571428571429e-06,4.4879113136181e-07,-379.51701638463,379.51701638442,47397790.686817,47824730.791546
19,4.7372397199302e-07,3.015873015873e-06,4.7372397199302e-07,-400.60129507266,400.60129507244,50031001.280529,50481660.279966
20,4.9865681262423e-07,3.1746031746032e-06,4.9865681262423e-07,-421.6855737607,421.68557376047,52664211.874241,53138589.768385
21,5.2358965325545e-07,3.3333333333333e-06,5.2358965325545e-07,-442.76985244873,442.76985244852,55297422.467953,55795519.256804
22,5.4852249388666e-07,3.4920634920635e-06,5.4852249388666e-07,-463.85413113677,463.85413113654,57930633.061665,58452448.745223
23,5.7345533451787e-07,3.6507936507937e-06,5.7345533451787e-07,-484.93840982481,484.93840982456,60563843.655377,61109378.233642
24,5.9838817514908e-07,3.8095238095238e-06,5.9838817514908e-07,-506.02268851284,506.02268851257,63197054.249089,63766307.722061
25,6.2332101578029e-07,3.968253968254e-06,6.2332101578029e-07,-527.10696720087,527.10696720062,65830264.842801,66423237.210481
26,6.4825385641151e-07,4.1269841269841e-06,6.4825385641151e-07,-548.19124588891,548.19124588865,68463475.436513,69080166.698899
27,6.7318669704272e-07,4.2857142857143e-06,6.7318669704272e-07,-569.27552457694,569.27552457665,71096686.030225,71737096.187318
28,6.9811953767393e-07,4.4444444444444e-06,6.9811953767393e-07,-590.35980326498,590.35980326469,73729896.623937,74394025.675738
29,7.2305237830514e-07,4.6031746031746e-06,7.2305237830514e-07,-611.44408195302,611.44408195269,76363107.217648,77050955.164155
30,7.4798521893635e-07,4.7619047619048e-06,7.4798521893635e-07,-632.52836064105,632.52836064072,78996317.81136,79707884.652575
31,7.7291805956756e-07,4.9206349206349e-06,7.7291805956756e-07,-653.61263932908,653.61263932873,81629528.405072,82364814.140994
32,7.9785090019878e-07,5.0793650793651e-06,7.9785090019878e-07,-674.69691801712,674.69691801677,84262738.998784,85021743.629412
