time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4932749221681e-08,1.5873015873016e-07,2.4932749221681e-08,-21.362099400676,21.362099400689,2573056.8243266,2604673.6767553
2,4.9865498443362e-08,3.1746031746032e-07,4.9865498443362e-08,-42.724198801352,42.724198801377,5146113.6486531,5209347.3535105
3,7.4798247665043e-08,4.7619047619048e-07,7.4798247665043e-08,-64.086298202028,64.086298202065,7719170.4729797,7814021.0302657
4,9.9730996886723e-08,6.3492063492063e-07,9.9730996886723e-08,-85.448397602704,85.448397602755,10292227.297306,10418694.707021
5,1.246637461084e-07,7.9365079365079e-07,1.246637461084e-07,-106.81049700338,106.81049700344,12865284.121633,13023368.383776
6,1.4959649533009e-07,9.5238095238095e-07,1.4959649533009e-07,-128.17259640406,128.17259640413,15438340.945959,15628042.060531
7,1.7452924455177e-07,1.1111111111111e-06,1.7452924455177e-07,-149.53469580473,149.53469580482,18011397.770286,18232715.737287
8,1.9946199377345e-07,1.2698412698413e-06,1.9946199377345e-07,-170.89679520541,170.89679520551,20584454.594612,20837389.414042
9,2.2439474299513e-07,1.4285714285714e-06,2.2439474299513e-07,-192.25889460608,192.2588946062,23157511.418939,23442063.090797
10,2.4932749221681e-07,1.5873015873016e-06,2.4932749221681e-07,-213.62099400676,213.62099400688,25730568.243266,26046736.767553
11,2.7426024143849e-07,1.7460317460317e-06,2.7426024143849e-07,-234.98309340743,234.98309340758,28303625.067592,28651410.444308
12,2.9919299066017e-07,1.9047619047619e-06,2.9919299066017e-07,-256.34519280811,256.34519280827,30876681.891919,31256084.121063
13,3.2412573988185e-07,2.0634920634921e-06,3.2412573988185e-07,-277.70729220879,277.70729220897,33449738.716245,33860757.797818
14,3.4905848910353e-07,2.2222222222222e-06,3.4905848910353e-07,-299.06939160946,299.06939160964,36022795.540572,36465431.474574
15,3.7399123832521e-07,2.3809523809524e-06,3.7399123832521e-07,-320.43149101014,320.43149101034,38595852.364899,39070105.151329
16,3.9892398754689e-07,2.5396825396825e-06,3.9892398754689e-07,-341.79359041081,341.79359041102,41168909.189225,41674778.828084
17,4.2385673676857e-07,2.6984126984127e-06,4.2385673676857e-07,-363.15568981149,363.1556898117,43741966.013552,44279452.504839
18,4.4878948599026e-07,2.8571428571429e-06,4.4878948599026e-07,-384.51778921217,384.5177892124,46315022.837879,46884126.181595
19,4.7372223521194e-07,3.015873015873e-06,4.7372223521194e-07,-405.87988861284,405.87988861308,48888079.662205,49488799.85835
20,4.9865498443362e-07,3.1746031746032e-06,4.9865498443362e-07,-427.24198801352,427.24198801376,51461136.486532,52093473.535106
21,5.235877336553e-07,3.3333333333333e-06,5.235877336553e-07,-448.60408741419,448.60408741446,54034193.310859,54698147.211861
22,5.4852048287698e-07,3.4920634920635e-06,5.4852048287698e-07,-469.96618681487,469.96618681515,56607250.135186,57302820.888616
23,5.7345323209866e-07,3.6507936507937e-06,5.7345323209866e-07,-491.32828621555,491.32828621584,59180306.959512,59907494.565372
24,5.9838598132034e-07,3.8095238095238e-06,5.9838598132034e-07,-512.69038561622,512.69038561653,61753363.783839,62512168.242127
25,6.2331873054202e-07,3.968253968254e-06,6.2331873054202e-07,-534.0524850169,534.05248501724,64326420.608166,65116841.918883
