time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4931808395358e-08,1.5873015873016e-07,2.4931808395358e-08,-21.643500448917,21.643500448915,2523430.7338422,2560905.7514586
2,4.9863616790716e-08,3.1746031746032e-07,4.9863616790716e-08,-43.287000897835,43.287000897831,5046861.4676844,5121811.5029172
3,7.4795425186075e-08,4.7619047619048e-07,7.4795425186075e-08,-64.930501346752,64.930501346746,7570292.2015265,7682717.2543757
4,9.9727233581433e-08,6.3492063492063e-07,9.9727233581433e-08,-86.574001795669,86.574001795661,10093722.935369,10243623.005834
5,1.2465904197679e-07,7.9365079365079e-07,1.2465904197679e-07,-108.21750224459,108.21750224457,12617153.669211,12804528.757293
6,1.4959085037215e-07,9.5238095238095e-07,1.4959085037215e-07,-129.8610026935,129.86100269349,15140584.403053,15365434.508751
7,1.7452265876751e-07,1.1111111111111e-06,1.7452265876751e-07,-151.50450314242,151.50450314241,17664015.136895,17926340.26021
8,1.9945446716287e-07,1.2698412698413e-06,1.9945446716287e-07,-173.14800359134,173.14800359132,20187445.870737,20487246.011669
9,2.2438627555822e-07,1.4285714285714e-06,2.2438627555822e-07,-194.79150404026,194.79150404024,22710876.60458,23048151.763127
10,2.4931808395358e-07,1.5873015873016e-06,2.4931808395358e-07,-216.43500448917,216.43500448915,25234307.338422,25609057.514586
11,2.7424989234894e-07,1.7460317460317e-06,2.7424989234894e-07,-238.07850493809,238.07850493807,27757738.072264,28169963.266045
12,2.991817007443e-07,1.9047619047619e-06,2.991817007443e-07,-259.72200538701,259.72200538698,30281168.806106,30730869.017503
13,3.2411350913966e-07,2.0634920634921e-06,3.2411350913966e-07,-281.36550583592,281.3655058359,32804599.539949,33291774.768962
14,3.4904531753501e-07,2.2222222222222e-06,3.4904531753501e-07,-303.00900628484,303.00900628482,35328030.273791,35852680.520421
15,3.7397712593037e-07,2.3809523809524e-06,3.7397712593037e-07,-324.65250673376,324.65250673374,37851461.007633,38413586.271879
16,3.9890893432573e-07,2.5396825396825e-06,3.9890893432573e-07,-346.29600718268,346.29600718265,40374891.741476,40974492.023338
17,4.2384074272109e-07,2.6984126984127e-06,4.2384074272109e-07,-367.93950763159,367.93950763157,42898322.475318,43535397.774797
18,4.4877255111645e-07,2.8571428571429e-06,4.4877255111645e-07,-389.58300808051,389.58300808049,45421753.20916,46096303.526256
19,4.7370435951181e-07,3.015873015873e-06,4.7370435951181e-07,-411.22650852943,411.2265085294,47945183.943003,48657209.277715
20,4.9863616790716e-07,3.1746031746032e-06,4.9863616790716e-07,-432.87000897835,432.87000897832,50468614.676845,51218115.029174
21,5.2356797630252e-07,3.3333333333333e-06,5.2356797630252e-07,-454.51350942726,454.51350942725,52992045.410687,53779020.780632
22,5.4849978469788e-07,3.4920634920635e-06,5.4849978469788e-07,-476.15700987618,476.15700987617,55515476.14453,56339926.532091
23,5.7343159309324e-07,3.6507936507937e-06,5.7343159309324e-07,-497.8005103251,497.80051032509,58038906.878372,58900832.28355
24,5.983634014886e-07,3.8095238095238e-06,5.983634014886e-07,-519.44401077402,519.444010774,60562337.612214,61461738.035009
25,6.2329520988396e-07,3.968253968254e-06,6.2329520988396e-07,-541.08751122293,541.08751122294,63085768.346057,64022643.786468
26,6.4822701827931e-07,4.1269841269841e-06,6.4822701827931e-07,-562.73101167185,562.73101167186,65609199.079899,66583549.537927
27,6.7315882667467e-07,4.2857142857143e-06,6.7315882667467e-07,-584.37451212077,584.37451212078,68132629.813741,69144455.289385
28,6.9809063507003e-07,4.4444444444444e-06,6.9809063507003e-07,-606.01801256968,606.01801256969,70656060.547584,71705361.040844
29,7.2302244346539e-07,4.6031746031746e-06,7.2302244346539e-07,-627.6615130186,627.66151301862,73179491.281426,74266266.792303
30,7.4795425186075e-07,4.7619047619048e-06,7.4795425186075e-07,-649.30501346752,649.30501346754,75702922.015268,76827172.543762
31,7.728860602561e-07,4.9206349206349e-06,7.728860602561e-07,-670.94851391644,670.94851391646,78226352.749111,79388078.295221
32,7.9781786865146e-07,5.0793650793651e-06,7.9781786865146e-07,-692.59201436535,692.59201436538,80749783.482953,81948984.04668
33,8.2274967704682e-07,5.2380952380952e-06,8.2274967704682e-07,-714.23551481427,714.2355148143,83273214.216795,84509889.798138
34,8.4768148544218e-07,5.3968253968254e-06,8.4768148544218e-07,-735.87901526319,735.87901526322,85796644.950637,87070795.549597
35,8.7261329383754e-07,5.5555555555556e-06,8.7261329383754e-07,-757.52251571211,757.52251571214,88320075.68448,89631701.301056
36,8.975451022329e-07,5.7142857142857e-06,8.975451022329e-07,-779.16601616102,779.16601616106,90843506.418322,92192607.052515
37,9.2247691062825e-07,5.8730158730159e-06,9.2247691062825e-07,-800.80951660994,800.80951660997,93366937.152164,94753512.803973
38,9.4740871902361e-07,6.031746031746e-06,9.4740871902361e-07,-822.45301705886,822.4530170589,95890367.886007,97314418.555433
39,9.7234052741897e-07,6.1904761904762e-06,9.7234052741897e-07,-844.09651750778,844.09651750781,98413798.619849,99875324.306891
40,9.9727233581433e-07,6.3492063492063e-06,9.9727233581433e-07,-865.74001795669,865.74001795674,100937229.35369,102436230.05835
41,1.0222041442097e-06,6.5079365079365e-06,1.0222041442097e-06,-887.38351840561,887.38351840568,103460660.08753,104997135.80981
42,1.047135952605e-06,6.6666666666667e-06,1.047135952605e-06,-909.02701885453,909.02701885462,105984090.82138,107558041.56127
43,1.0720677610004e-06,6.8253968253968e-06,1.0720677610004e-06,-930.67051930344,930.67051930353,108507521.55522,110118947.31273
44,1.0969995693958e-06,6.984126984127e-06,1.0969995693958e-06,-952.31401975236,952.31401975246,111030952.28906,112679853.06419
45,1.1219313777911e-06,7.1428571428571e-06,1.1219313777911e-06,-973.95752020128,973.95752020136,113554383.0229,115240758.81564
46,1.1468631861865e-06,7.3015873015873e-06,1.1468631861865e-06,-995.6010206502,995.60102065029,116077813.75675,117801664.5671
47,1.1717949945818e-06,7.4603174603175e-06,1.1717949945818e-06,-1017.2445210991,1017.2445210992,118601244.49059,120362570.31856
48,1.1967268029772e-06,7.6190476190476e-06,1.1967268029772e-06,-1038.888021548,1038.8880215481,121124675.22443,122923476.07002
49,1.2216586113726e-06,7.7777777777778e-06,1.2216586113726e-06,-1060.5315219969,1060.5315219971,123648105.95827,125484381.82148
50,1.2465904197679e-06,7.9365079365079e-06,1.2465904197679e-06,-1082.1750224459,1082.175022446,126171536.69211,128045287.57294
51,1.2715222281633e-06,8.0952380952381e-06,1.2715222281633e-06,-1103.8185228948,1103.8185228949,128694967.42596,130606193.3244
52,1.2964540365586e-06,8.2539682539683e-06,1.2964540365586e-06,-1125.4620233437,1125.4620233439,131218398.1598,133167099.07586
53,1.321385844954e-06,8.4126984126984e-06,1.321385844954e-06,-1147.1055237926,1147.1055237928,133741828.89364,135728004.82732
54,1.3463176533493e-06,8.5714285714286e-06,1.3463176533493e-06,-1168.7490242415,1168.7490242417,136265259.62748,138288910.57877
55,1.3712494617447e-06,8.7301587301587e-06,1.3712494617447e-06,-1190.3925246905,1190.3925246907,138788690.36133,140849816.33023
56,1.3961812701401e-06,8.8888888888889e-06,1.3961812701401e-06,-1212.0360251394,1212.0360251396,141312121.09517,143410722.08169
57,1.4211130785354e-06,9.047619047619e-06,1.4211130785354e-06,-1233.6795255883,1233.6795255885,143835551.82901,145971627.83315
58,1.4460448869308e-06,9.2063492063492e-06,1.4460448869308e-06,-1255.3230260372,1255.3230260374,146358982.56285,148532533.58461
59,1.4709766953261e-06,9.3650793650794e-06,1.4709766953261e-06,-1276.9665264861,1276.9665264864,148882413.29669,151093439.33607
60,1.4959085037215e-06,9.5238095238095e-06,1.4959085037215e-06,-1298.610026935,1298.6100269353,151405844.03054,153654345.08753
61,1.5208403121169e-06,9.6825396825397e-06,1.5208403121169e-06,-1320.253527384,1320.2535273842,153929274.76438,156215250.83898
62,1.5457721205122e-06,9.8412698412698e-06,1.5457721205122e-06,-1341.8970278329,1341.8970278332,156452705.49822,158776156.59044
63,1.5707039289076e-06,1e-05,1.5707039289076e-06,-1363.5405282818,1363.5405282821,158976136.23206,161337062.3419
