time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max
0,0,0,0,0,0,0
1,1.5693988777967e-06,1e-05,1.5693988777967e-06,-1395.092027748,1395.092027748,148541119.8013
