time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
19,4.737289772985e-07,3.015873015873e-06,4.737289772985e-07,-402.67662251147,402.67662251234,49678186.981037,50181675.222547
20,4.9866208136685e-07,3.1746031746032e-06,4.9866208136685e-07,-423.87012895944,423.87012896035,52292828.401092,52822816.023734
21,5.2359518543519e-07,3.3333333333333e-06,5.2359518543519e-07,-445.06363540741,445.0636354084,54907469.821146,55463956.82492
22,5.4852828950353e-07,3.4920634920635e-06,5.4852828950353e-07,-466.25714185539,466.25714185642,57522111.241201,58105097.626107
23,5.7346139357187e-07,3.6507936507937e-06,5.7346139357187e-07,-487.45064830336,487.45064830442,60136752.661255,60746238.427294
24,5.9839449764022e-07,3.8095238095238e-06,5.9839449764022e-07,-508.64415475133,508.64415475246,62751394.08131,63387379.228481
25,6.2332760170856e-07,3.968253968254e-06,6.2332760170856e-07,-529.8376611993,529.8376612005,65366035.501365,66028520.029668
26,6.482607057769e-07,4.1269841269841e-06,6.482607057769e-07,-551.03116764728,551.03116764851,67980676.92142,68669660.830855
27,6.7319380984524e-07,4.2857142857143e-06,6.7319380984524e-07,-572.22467409525,572.22467409652,70595318.341475,71310801.632043
28,6.9812691391358e-07,4.4444444444444e-06,6.9812691391358e-07,-593.41818054322,593.41818054455,73209959.76153,73951942.433229
29,7.2306001798193e-07,4.6031746031746e-06,7.2306001798193e-07,-614.61168699119,614.61168699256,75824601.181584,76593083.234416
30,7.4799312205027e-07,4.7619047619048e-06,7.4799312205027e-07,-635.80519343916,635.80519344059,78439242.601639,79234224.035604
31,7.7292622611861e-07,4.9206349206349e-06,7.7292622611861e-07,-656.99869988714,656.99869988861,81053884.021694,81875364.83679
32,7.9785933018695e-07,5.0793650793651e-06,7.9785933018695e-07,-678.19220633511,678.19220633662,83668525.44175,84516505.637979
33,8.227924342553e-07,5.2380952380952e-06,8.227924342553e-07,-699.38571278308,699.38571278463,86283166.861803,87157646.439164
